,label
Verify your account immediately,Phishing
Click here to claim your prize,Phishing
Update your bank details now,Phishing
Meeting scheduled for tomorrow,Legitimate
Project discussion at 2 PM,Legitimate
Thank you for your purchase,Legitimate
,label
Verify your account immediately,Phishing
Click here to claim your prize,Phishing
Update your bank details now,Phishing
Your account has been suspended,Phishing
Urgent action required to secure your account,Phishing
Reset your password immediately,Phishing
You have won a lottery worth $10000,Phishing
Click the link below to receive your reward,Phishing
Confirm your banking credentials,Phishing
Your PayPal account needs verification,Phishing
Claim your free gift card now,Phishing
Security alert login attempt detected,Phishing
Update your payment information,Phishing
Your package is waiting click here,Phishing
Congratulations you are selected as a winner,Phishing
Immediate verification required,Phishing
Unlock your account by clicking here,Phishing
Limited time offer claim now,Phishing
You have received an unexpected refund,Phishing
Your account will be deleted unless verified,Phishing
Meeting scheduled for tomorrow,Legitimate
Project discussion at 2 PM,Legitimate
Thank you for your purchase,Legitimate
Team meeting has been postponed,Legitimate
Please review the attached report,Legitimate
Happy birthday wishes from our team,Legitimate
Your order has been shipped successfully,Legitimate
Weekly project update attached,Legitimate
Lunch meeting invitation,Legitimate
Training session starts at 10 AM,Legitimate
Invoice for your recent purchase,Legitimate
Welcome to the organization,Legitimate
Class timetable for next semester,Legitimate
Assignment submission reminder,Legitimate
Conference registration confirmed,Legitimate
Monthly performance report,Legitimate
Thank you for attending the event,Legitimate
Interview scheduled for Monday,Legitimate
Office will remain closed tomorrow,Legitimate
Your subscription has been renewed successfully,Legitimate